video_name,ground_truth,model_name,template_type,predicted_category,response,num_segment
Normal_Videos_895_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_926_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"{""category"": ""Other_anomaly""}",8
Normal_Videos_924_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Normal_Videos_289_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_931_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_063_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Explosion020_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Assault,"{""category"": ""Assault""}",8
Normal_Videos_310_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Shooting034_x264.mp4,Shooting,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"{""category"": ""Other_anomaly""}",8
RoadAccidents011_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"{""category"": ""Road_Accident""}",8
RoadAccidents127_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Robbery102_x264.mp4,Robbery,OpenGVLab/InternVL3-2B,classification,Assault,"{""category"": ""Assault""}",8
Normal_Videos_033_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_870_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_883_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Shoplifting022_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Shoplifting,"{""category"": ""Shoplifting""}",8
Normal_Videos_868_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_898_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Shoplifting028_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Shoplifting,"{""category"": ""Shoplifting""}",8
RoadAccidents004_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_893_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{
  ""category"": ""Normal""
}
```",8
Normal_Videos_905_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_725_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_168_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
RoadAccidents022_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"```json
{""category"": ""Road_Accident""}
```",8
Shoplifting031_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Robbery050_x264.mp4,Robbery,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_656_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Burglary033_x264.mp4,Burglary,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_439_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Arrest007_x264.mp4,Arrest,OpenGVLab/InternVL3-2B,classification,Arrest,"{""category"": ""Arrest""}",8
Normal_Videos_876_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_782_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_696_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Shooting048_x264.mp4,Shooting,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Explosion021_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Arson,"{""category"": ""Arson""}",8
Robbery048_x264.mp4,Robbery,OpenGVLab/InternVL3-2B,classification,Arrest,"```json
{""category"": ""Arrest""}
```",8
Burglary035_x264.mp4,Burglary,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"{""category"": ""Other_anomaly""}",8
Normal_Videos_878_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_909_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Road_Accident,"{""category"": ""Road_Accident""}",8
RoadAccidents020_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"```json
{""category"": ""Road_Accident""}
```",8
Normal_Videos_882_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Burglary021_x264.mp4,Burglary,OpenGVLab/InternVL3-2B,classification,Arrest,"```json
{""category"": ""Arrest""}
```",8
Normal_Videos_801_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Arson018_x264.mp4,Arson,OpenGVLab/InternVL3-2B,classification,Arson,"{""category"": ""Arson""}",8
Normal_Videos_710_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_901_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Arson035_x264.mp4,Arson,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_914_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_745_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_621_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_925_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Arson,"```json
{""category"": ""Arson""}
```",8
Burglary076_x264.mp4,Burglary,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_866_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_912_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_317_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
RoadAccidents010_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"{""category"": ""Road_Accident""}",8
Shooting022_x264.mp4,Shooting,OpenGVLab/InternVL3-2B,classification,Arrest,"```json
{""category"": ""Arrest""}
```",8
Burglary037_x264.mp4,Burglary,OpenGVLab/InternVL3-2B,classification,Arrest,"```json
{""category"": ""Arrest""}
```",8
Shoplifting010_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Shoplifting,"```json
{""category"": ""Shoplifting""}
```",8
Vandalism017_x264.mp4,Vandalism,OpenGVLab/InternVL3-2B,classification,Vandalism,"{""category"": ""Vandalism""}",8
Shoplifting005_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_890_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_869_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_887_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Shoplifting029_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Shoplifting,"{""category"": ""Shoplifting""}",8
Normal_Videos_019_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_900_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_478_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Fighting047_x264.mp4,Fighting,OpenGVLab/InternVL3-2B,classification,Assault,"```json
{""category"": ""Assault""}
```",8
Normal_Videos_867_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Arson007_x264.mp4,Arson,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Normal_Videos_702_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Explosion008_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Explosion,"```json
{""category"": ""Explosion""}
```",8
Explosion010_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Explosion,"{""category"": ""Explosion""}",8
Normal_Videos_910_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"{""category"": ""Other_anomaly""}",8
Normal_Videos_360_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_872_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Fighting018_x264.mp4,Fighting,OpenGVLab/InternVL3-2B,classification,Assault,"{""category"": ""Assault""}",8
RoadAccidents019_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"```json
{""category"": ""Road_Accident""}
```",8
Normal_Videos_003_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Shooting033_x264.mp4,Shooting,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Fighting042_x264.mp4,Fighting,OpenGVLab/InternVL3-2B,classification,Arrest,"{""category"": ""Arrest""}",8
Normal_Videos_025_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Shoplifting020_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Shoplifting,"{""category"": ""Shoplifting""}",8
Explosion039_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Burglary024_x264.mp4,Burglary,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"{""category"": ""Other_anomaly""}",8
Shooting002_x264.mp4,Shooting,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Shoplifting034_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Arrest,"{""category"": ""Arrest""}",8
Normal_Videos_907_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Road_Accident,"```json
{""category"": ""Road_Accident""}
```",8
Robbery137_x264.mp4,Robbery,OpenGVLab/InternVL3-2B,classification,Arrest,"{""category"": ""Arrest""}",8
Normal_Videos_783_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_896_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Normal_Videos_015_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
RoadAccidents123_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"```json
{""category"": ""Road_Accident""}
```",8
RoadAccidents002_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Road_Accident,"{""category"": ""Road_Accident""}",8
Shoplifting049_x264.mp4,Shoplifting,OpenGVLab/InternVL3-2B,classification,Shoplifting,"```json
{""category"": ""Shoplifting""}
```",8
Vandalism015_x264.mp4,Vandalism,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_251_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Explosion011_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Road_Accident,"{""category"": ""Road_Accident""}",8
Normal_Videos_937_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
RoadAccidents128_x264.mp4,RoadAccidents,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"{""category"": ""Other_anomaly""}",8
Shooting018_x264.mp4,Shooting,OpenGVLab/InternVL3-2B,classification,Assault,"```json
{""category"": ""Assault""}
```",8
Normal_Videos_875_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_885_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Normal_Videos_634_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Abuse028_x264.mp4,Abuse,OpenGVLab/InternVL3-2B,classification,Other_anomaly,"```json
{""category"": ""Other_anomaly""}
```",8
Normal_Videos_453_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_899_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Normal_Videos_597_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"```json
{""category"": ""Normal""}
```",8
Explosion013_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Arson,"{""category"": ""Arson""}",8
Normal_Videos_352_x264.mp4,Normal,OpenGVLab/InternVL3-2B,classification,Normal,"{""category"": ""Normal""}",8
Explosion016_x264.mp4,Explosion,OpenGVLab/InternVL3-2B,classification,Arson,"{""category"": ""Arson""}",8
